Player_ID,First_Name,Last_Name,Current_Team_ID,Current_Team_Full_Name,Current_Team_Name,Position,Current_Team_Abbr,Current_Team_City,Current_Team_Conf,Current_Team_Div
82,Isaiah,Canaan,18,Minnesota Timberwolves,Timberwolves,G,MIN,Minnesota,West,Northwest
93,Tyler,Cavanaugh,29,Utah Jazz,Jazz,F,UTA,Utah,West,Northwest
2205,Jawun,Evans,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
155,Raymond,Felton,21,Oklahoma City Thunder,Thunder,G,OKC,Oklahoma City,West,Northwest
2229,Walter,Lemon Jr.,5,Chicago Bulls,Bulls,,CHI,Chicago,East,Central
276,Jon,Leuer,9,Detroit Pistons,Pistons,F,DET,Detroit,East,Central
279,Jeremy,Lin,28,Toronto Raptors,Raptors,G,TOR,Toronto,East,Atlantic
280,Shaun,Livingston,10,Golden State Warriors,Warriors,G,GSW,Golden State,West,Pacific
150,Tyreke,Evans,12,Indiana Pacers,Pacers,G,IND,Indiana,East,Central
287,Jordan,Loyd,28,Toronto Raptors,Raptors,G,TOR,Toronto,East,Atlantic
2100,Kalin,Lucas,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
113,Dante,Cunningham,27,San Antonio Spurs,Spurs,F,SAS,San Antonio,West,Southwest
122,Angel,Delgado,13,LA Clippers,Clippers,C,LAC,LA,West,Pacific
124,Luol,Deng,18,Minnesota Timberwolves,Timberwolves,F,MIN,Minnesota,West,Northwest
133,Tyler,Dorsey,15,Memphis Grizzlies,Grizzlies,G,MEM,Memphis,West,Southwest
141,Trevon,Duval,11,Houston Rockets,Rockets,G,HOU,Houston,West,Southwest
142,Vincent,Edwards,11,Houston Rockets,Rockets,F,HOU,Houston,West,Southwest
2162,Deyonta,Davis,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
80,Jose,Calderon,9,Detroit Pistons,Pistons,G,DET,Detroit,East,Central
103,Darren,Collison,12,Indiana Pacers,Pacers,G,IND,Indiana,East,Central
50191,Bonzie,Colson,17,Milwaukee Bucks,Bucks,F,MIL,Milwaukee,East,Central
423,Jason,Smith,19,New Orleans Pelicans,Pelicans,F-C,NOP,New Orleans,West,Southwest
34,Jerryd,Bayless,18,Minnesota Timberwolves,Timberwolves,G,MIN,Minnesota,West,Northwest
99,Ian,Clark,19,New Orleans Pelicans,Pelicans,G,NOP,New Orleans,West,Southwest
1938,Jimmer,Fredette,24,Phoenix Suns,Suns,,PHX,Phoenix,West,Pacific
2139,RJ,Hunter,2,Boston Celtics,Celtics,,BOS,Boston,East,Atlantic
2007,John,Jenkins,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
291,Shelvin,Mack,4,Charlotte Hornets,Hornets,G,CHA,Charlotte,East,Southeast
321,Nikola,Mirotic,17,Milwaukee Bucks,Bucks,F,MIL,Milwaukee,East,Central
325,Greg,Monroe,23,Philadelphia 76ers,76ers,C,PHI,Philadelphia,East,Atlantic
346,Dirk,Nowitzki,7,Dallas Mavericks,Mavericks,F,DAL,Dallas,West,Southwest
381,Alex,Poythress,1,Atlanta Hawks,Hawks,F,ATL,Atlanta,East,Southeast
5471,Brandon,Sampson,5,Chicago Bulls,Bulls,,CHI,Chicago,East,Central
121,Sam,Dekker,28,Toronto Raptors,Raptors,F,TOR,Toronto,East,Atlantic
239,Jonas,Jerebko,10,Golden State Warriors,Warriors,F,GSW,Golden State,West,Pacific
429,Nik,Stauskas,6,Cleveland Cavaliers,Cavaliers,G,CLE,Cleveland,East,Central
3943,Julian,Washburn,15,Memphis Grizzlies,Grizzlies,,MEM,Memphis,West,Southwest
7,Rawle,Alkins,5,Chicago Bulls,Bulls,G,CHI,Chicago,East,Central
50609,Dairis,Bertans,19,New Orleans Pelicans,Pelicans,G,NOP,New Orleans,West,Southwest
361,Zaza,Pachulia,9,Detroit Pistons,Pistons,C,DET,Detroit,East,Central
50947,Tarik,Phillip,30,Washington Wizards,Wizards,G,WAS,Washington,East,Southeast
374,Quincy,Pondexter,27,San Antonio Spurs,Spurs,F,SAS,San Antonio,West,Southwest
418,Jonathon,Simmons,23,Philadelphia 76ers,76ers,F,PHI,Philadelphia,East,Atlantic
453,Ekpe,Udoh,29,Utah Jazz,Jazz,C-F,UTA,Utah,West,Northwest
488,Guerschon,Yabusele,2,Boston Celtics,Celtics,F,BOS,Boston,East,Atlantic
164,Channing,Frye,6,Cleveland Cavaliers,Cavaliers,F-C,CLE,Cleveland,East,Central
50737,Billy,Garrett,20,New York Knicks,Knicks,G-F,NYK,New York,East,Atlantic
